,City,Country,Latitude,Longitude,Temperature,Cloudiness,Humidity,Maximum temperature,Wind speed
337,port alfred,za,-69.47843536569196,36.23483315164157,-23.15,95,51,-23.15,0.56
338,taolanaro,mg,-42.36945747577703,52.40552964487455,6.75,26,66,6.75,16.74
339,chuy,uy,-36.091973693616325,-51.088119605885225,15.65,100,85,15.65,10.99
340,busselton,au,-77.66574874916473,78.59779686472103,-50.75,87,79,-50.75,8.84
341,severo-kurilsk,ru,40.96755461686047,157.9118564308303,12.55,100,83,12.55,3.13
342,cabo san lucas,mx,20.919923595002317,-109.90222994152319,24.95,2,73,24.95,1.24
343,bluff,nz,-77.17309225810202,173.12252350617695,-22.05,9,100,-22.05,3.13
344,jamestown,us,47.08412467827719,-99.36181126215962,26.11,20,61,26.67,3.6
345,sundsvall,se,62.066035557723495,17.442046456877307,17.18,33,63,18.33,2.6
346,nemuro,jp,37.13596084023898,148.8897409826546,18.85,100,83,18.85,6.81
347,kodiak,us,41.09615844637389,-148.32831237279242,16.35,100,77,16.35,1.83
348,rikitea,pf,-28.569759399927875,-132.98662148204463,20.55,100,87,20.55,10.67
349,busselton,au,-67.17389322601326,84.52964900813043,-21.25,100,59,-21.25,8.23
350,guerrero negro,mx,13.719107063331535,-130.40489013696788,26.65,100,82,26.65,9.47
351,harboore,dk,56.88593565438424,7.15401002211604,15.45,21,86,15.45,6.16
352,ushuaia,ar,-54.51622773476264,-68.81541673903506,4.0,75,80,4.0,2.1
353,severo-kurilsk,ru,42.33182777408916,163.4840208090065,9.65,100,92,9.65,5.24
354,mataura,pf,-73.34859166915524,-145.69787554332248,-24.85,0,100,-24.85,1.05
355,upernavik,gl,78.83747625856824,-55.67798041286406,-0.65,64,82,-0.65,4.32
356,cape town,za,-71.33091052170045,-5.928660382703839,-15.65,96,70,-15.65,15.1
357,illoqqortoormiut,gl,71.4174498029642,-19.261140773228078,0.95,55,94,0.95,4.14
358,pemangkat,id,3.5306551122663166,107.00024894319517,28.65,81,78,28.65,5.92
359,busselton,au,-41.475628518264024,96.09455316549503,12.05,67,97,12.05,11.13
360,medicine hat,ca,49.84176593942911,-110.52457489476748,25.14,20,44,25.56,5.7
361,albany,au,-84.14309255544299,98.65694137401266,-46.45,100,97,-46.45,4.5
362,jamiltepec,mx,15.587659590531942,-97.80355408648362,29.05,63,66,29.05,0.51
363,port elizabeth,za,-50.886858539413595,28.604777373523007,0.15,100,74,0.15,21.13
364,beisfjord,no,67.3166051884682,18.01421229788906,12.95,96,68,12.95,2.38
365,bluff,nz,-64.9990473480984,158.7484885547114,0.95,100,97,0.95,7.97
366,albany,au,-80.06957228921293,95.9971628534023,-48.55,100,98,-48.55,4.31
367,saint-philippe,re,-45.01194768483204,65.24846091620992,2.65,100,59,2.65,2.46
368,kungurtug,ru,51.10495500386929,97.15612427871122,13.25,100,99,13.25,0.79
369,caxito,ao,-9.4707094556381,14.490540026978408,21.85,0,69,21.85,3.15
370,punta arenas,cl,-52.775627471173934,-88.44535552753706,4.85,74,94,4.85,4.84
